student_id,course_code,quiz1,quiz2,endterm,assignment1,assignment2,assignment3,assignment4,assignment5,assignment6,assignment7,assignment8,assignment9,assignment10,assignment11,assignment12,total_score,grade,grade_point,attendance_percentage
DS001,MATH101,45.48,41.93,82.4,52.86,63.94,54.27,54.36,61.69,53.47,64.24,47.22,47.04,75.66,64.44,70.14,63.81,D,7.0,60.0
DS001,STAT101,69.14,82.29,80.38,84.2,85.54,83.58,92.14,89.89,84.73,94.98,86.27,87.11,71.72,83.38,79.17,80.43,B,9.0,78.14
DS001,PROG101,71.6,93.87,86.07,78.14,80.47,61.74,94.52,77.58,79.11,73.99,87.6,81.43,79.76,86.61,71.57,83.06,B,9.0,75.11
DS001,SYSC101,83.32,62.52,75.45,71.45,66.69,70.52,74.81,67.67,76.45,62.77,67.58,73.33,74.32,81.79,82.81,73.81,C,8.0,60.0
DS001,MATH201,57.73,61.56,71.88,57.42,83.37,72.35,79.16,70.44,78.5,72.18,70.01,73.31,72.04,85.19,70.3,68.75,D,7.0,60.0
DS001,STAT201,81.17,100.0,78.26,76.18,82.06,76.4,83.65,83.29,87.11,77.77,96.61,86.38,98.16,82.75,100.0,84.24,B,9.0,65.16
DS001,JAVA201,78.08,82.31,86.89,100.0,94.93,90.81,93.77,87.01,90.79,91.05,100.0,100.0,97.22,100.0,90.21,87.21,B,9.0,73.74
DS001,DBMS201,83.14,83.86,100.0,89.93,85.28,100.0,89.99,88.09,85.74,91.2,87.76,100.0,83.63,80.26,99.12,92.07,A,10.0,79.76
DS001,MLF301,74.06,72.63,67.57,74.02,63.93,73.35,58.63,57.61,71.48,68.79,83.27,68.1,70.78,79.42,61.67,69.81,D,7.0,60.91
DS001,DSA301,78.09,90.5,87.24,88.36,87.42,84.36,86.83,81.63,89.51,75.82,94.92,84.01,84.95,100.0,97.56,86.57,B,9.0,64.36
DS001,PDSA301,87.21,84.98,87.31,86.39,71.15,70.8,87.1,79.81,79.02,81.04,81.16,95.8,79.09,87.06,85.68,85.36,B,9.0,60.0
DS001,DBS301,59.46,66.51,53.87,57.2,57.38,58.79,61.49,76.02,52.17,61.77,49.71,57.01,54.59,62.79,67.23,58.35,E,6.0,60.0
DS001,MLT401,100.0,95.4,76.03,92.81,99.09,97.68,83.67,100.0,100.0,93.87,98.52,100.0,87.53,100.0,100.0,88.55,B,9.0,83.41
DS001,CSYS401,82.86,52.91,58.41,44.26,51.3,69.85,56.49,59.32,50.34,55.94,66.62,79.9,59.7,57.15,69.31,61.73,D,7.0,60.0
DS001,BDS401,71.01,83.36,47.68,67.12,77.67,67.12,70.21,71.54,89.97,83.65,77.35,56.86,80.09,76.41,82.8,64.75,D,7.0,60.0
DS001,DVIS401,100.0,65.77,96.7,77.56,79.98,85.41,100.0,100.0,75.16,77.87,87.02,83.17,100.0,83.22,100.0,89.78,B,9.0,78.35
DS001,MLP501,78.33,,,81.99,80.08,76.32,87.02,92.91,85.1,,,,,,,,,,71.04
DS001,DL501,81.09,,,63.53,66.5,80.52,61.85,82.12,74.23,,,,,,,,,,60.0
DS001,NLP501,47.61,,,58.15,62.68,55.85,57.01,42.93,56.99,,,,,,,,,,60.0
DS001,CV501,57.76,,,64.74,78.45,83.33,92.44,84.88,82.17,,,,,,,,,,60.0
DS002,MATH101,57.25,70.58,69.72,53.89,59.14,49.36,60.67,58.67,50.69,60.9,65.24,61.06,50.3,63.39,69.76,64.64,D,7.0,60.0
DS002,STAT101,53.12,45.06,73.14,55.09,58.41,51.58,50.77,53.54,51.35,70.72,60.61,42.21,61.19,72.92,52.71,61.01,D,7.0,60.0
DS002,PROG101,76.96,82.59,68.07,81.25,73.37,93.35,92.63,82.56,88.31,87.33,93.47,99.87,82.46,97.1,97.24,77.88,C,8.0,67.28
DS002,SYSC101,66.69,57.37,91.32,80.97,80.7,81.91,92.06,77.27,90.64,83.42,76.66,91.68,75.9,85.11,81.06,80.07,B,9.0,72.43
DS002,MATH201,71.79,53.52,50.42,53.16,64.29,57.48,73.63,70.29,74.74,74.32,53.37,62.66,70.74,63.77,71.69,58.72,E,6.0,60.0
DS002,STAT201,89.48,67.51,78.48,83.87,88.8,68.99,73.79,100.0,78.95,80.93,82.79,84.32,80.5,92.12,92.38,80.13,B,9.0,60.0
DS002,JAVA201,90.2,83.63,43.04,81.09,72.34,77.03,88.18,81.51,70.71,100.0,100.0,97.51,77.32,93.44,87.86,68.97,D,7.0,65.66
DS002,DBMS201,70.61,70.93,54.1,63.7,70.57,85.95,74.16,75.46,72.33,80.81,77.5,90.88,80.59,78.77,85.65,66.28,D,7.0,61.96
DS002,MLF301,79.58,54.09,33.81,79.5,73.92,65.68,77.46,79.83,88.26,66.83,61.79,60.12,91.59,83.43,69.05,56.01,E,6.0,60.0
DS002,DSA301,58.13,43.63,68.34,60.83,63.19,63.76,68.44,67.96,54.71,53.07,71.34,86.8,58.73,68.33,82.78,62.6,D,7.0,60.0
DS002,PDSA301,68.92,70.36,48.04,64.55,64.48,69.33,67.19,61.64,61.29,70.63,55.08,55.96,67.15,84.43,72.06,59.95,E,6.0,60.0
DS002,DBS301,57.24,50.06,40.54,62.66,63.24,70.69,59.61,64.58,63.04,72.88,63.18,62.62,72.42,60.68,69.4,51.94,E,6.0,60.0
DS002,MLT401,70.48,52.59,73.43,64.5,69.12,56.03,56.07,52.08,71.9,59.83,66.38,67.25,75.05,69.31,91.04,67.8,D,7.0,60.0
DS002,CSYS401,62.97,40.8,66.41,65.7,59.15,59.44,59.61,54.94,57.53,65.15,59.08,71.36,54.32,58.45,63.2,60.33,D,7.0,60.0
DS002,BDS401,47.98,35.19,61.52,49.42,58.75,46.85,62.49,26.58,55.1,53.85,42.45,47.66,52.0,68.83,65.48,52.82,E,6.0,60.0
DS002,DVIS401,78.01,78.92,80.81,86.25,84.0,74.73,82.74,80.23,73.65,70.53,70.65,72.19,80.82,79.12,88.1,79.44,C,8.0,60.0
DS002,MLP501,56.66,77.47,76.07,77.03,74.99,57.96,93.64,68.79,77.2,85.62,75.0,75.42,78.36,81.68,70.2,73.45,C,8.0,60.0
DS002,DL501,69.57,91.79,81.19,83.58,84.69,94.41,85.13,92.53,79.3,100.0,98.44,75.87,100.0,81.68,87.47,83.26,B,9.0,70.61
DS002,NLP501,66.1,78.09,66.28,74.76,67.12,67.23,47.28,75.37,73.43,77.73,78.48,73.31,82.99,71.92,68.79,69.6,D,7.0,60.0
DS002,CV501,76.41,100.0,73.27,79.73,95.68,93.43,92.08,83.68,91.22,85.91,85.8,98.9,89.98,100.0,77.03,82.61,B,9.0,73.09
DS002,RL601,81.92,,,75.13,77.08,83.09,90.27,49.68,77.75,,,,,,,,,,60.0
DS002,TSA601,75.17,,,62.2,62.54,59.26,60.01,68.02,67.71,,,,,,,,,,60.0
DS002,BA601,52.04,,,63.33,67.13,68.39,80.13,62.29,65.47,,,,,,,,,,60.0
DS002,CAP601,87.46,,,86.46,79.98,91.34,82.15,100.0,82.7,,,,,,,,,,83.16
DS003,MATH101,79.58,70.59,80.18,77.09,78.56,80.33,75.21,77.59,90.43,72.03,72.46,100.0,88.06,96.16,71.37,79.08,C,8.0,64.35
DS003,STAT101,56.04,72.87,49.52,63.16,71.96,61.83,70.66,60.42,84.4,65.16,82.18,68.83,76.43,69.5,65.71,60.15,D,7.0,60.0
DS003,PROG101,82.73,83.07,100.0,87.65,86.29,96.19,86.53,83.56,96.99,89.28,86.22,100.0,91.4,98.86,84.21,92.05,A,10.0,84.0
DS003,SYSC101,80.36,97.76,61.12,93.82,91.07,86.49,77.07,93.34,83.02,84.28,82.55,96.83,93.29,87.04,98.96,77.86,C,8.0,72.61
DS003,MATH201,58.27,59.1,71.08,58.74,55.83,56.87,69.41,68.16,68.09,62.93,61.04,68.92,65.77,65.7,53.49,64.91,D,7.0,60.0
DS003,STAT201,81.02,87.42,64.04,80.64,81.67,76.3,72.66,96.05,88.65,91.63,82.91,83.36,84.48,79.14,97.7,76.26,C,8.0,67.91
DS003,JAVA201,86.12,65.15,74.86,75.66,72.09,67.06,86.04,72.55,79.28,73.03,85.22,86.4,78.82,81.47,79.01,76.05,C,8.0,69.22
DS003,DBMS201,26.26,52.72,61.09,48.6,52.3,55.53,55.85,43.47,58.85,56.14,52.46,58.18,61.68,46.23,44.11,52.12,E,6.0,60.0
DS003,MLF301,63.22,80.99,62.87,72.77,56.94,69.71,64.41,80.41,68.36,74.42,68.96,64.56,87.74,78.84,73.64,68.3,D,7.0,60.0
DS003,DSA301,75.7,63.72,65.12,78.67,72.02,90.16,77.84,77.74,61.36,72.47,80.89,75.2,80.92,67.25,77.2,69.75,D,7.0,62.39
DS003,PDSA301,61.31,76.22,74.51,75.01,87.35,78.01,81.24,69.92,77.58,96.74,81.87,89.93,78.37,89.32,81.93,75.11,C,8.0,69.92
DS003,DBS301,60.3,64.87,69.77,82.05,71.18,66.03,82.79,67.43,85.79,70.95,79.59,67.72,75.45,60.06,87.41,69.1,D,7.0,60.0
DS003,MLT401,56.27,56.45,53.13,56.85,60.75,63.14,61.35,69.04,60.91,63.2,65.29,65.31,62.81,72.82,73.71,57.54,E,6.0,60.0
DS003,CSYS401,71.58,63.18,54.69,61.39,72.47,72.74,68.02,57.53,67.98,83.06,63.0,71.5,62.95,73.43,75.15,62.82,D,7.0,60.0
DS003,BDS401,68.47,46.07,44.91,60.6,52.37,75.21,55.85,55.37,64.83,65.55,61.04,53.25,78.25,77.35,61.4,54.17,E,6.0,60.0
DS003,DVIS401,77.56,64.37,94.31,86.13,77.43,79.27,82.22,79.3,74.18,77.37,83.73,80.17,74.69,87.83,76.3,82.98,B,9.0,60.0
DS003,MLP501,66.63,,,59.15,61.92,65.19,67.29,76.0,53.0,,,,,,,,,,60.0
DS003,DL501,80.03,,,87.58,79.24,75.36,84.15,86.58,92.4,,,,,,,,,,60.0
DS003,NLP501,97.85,,,80.22,100.0,98.23,88.37,100.0,100.0,,,,,,,,,,94.9
DS003,CV501,80.81,,,76.52,70.26,70.4,81.43,82.57,73.01,,,,,,,,,,61.22
DS004,MATH101,75.78,66.49,81.15,77.55,75.96,90.15,95.54,90.26,86.81,85.53,78.69,87.21,77.54,71.81,80.76,78.75,C,8.0,60.0
DS004,STAT101,77.93,85.46,61.03,79.15,76.77,77.56,87.62,80.8,86.43,93.33,81.97,100.0,98.02,76.15,83.85,74.46,C,8.0,74.35
DS004,PROG101,37.95,61.37,56.38,65.69,76.86,69.86,74.47,64.94,65.38,65.27,69.84,71.17,67.09,66.15,74.4,58.23,E,6.0,60.0
DS004,SYSC101,96.02,68.98,82.37,100.0,80.45,95.2,92.24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.11,86.52,B,9.0,86.38
DS004,MATH201,40.83,63.51,44.01,57.66,58.16,49.79,51.54,74.5,49.36,49.64,50.26,43.4,65.52,51.03,45.97,49.42,F,0.0,60.0
DS004,STAT201,89.5,84.4,81.33,81.42,85.87,81.73,93.41,94.91,78.62,87.77,86.03,86.07,89.55,88.41,91.22,84.74,B,9.0,76.83
DS004,JAVA201,65.87,80.06,73.51,70.0,58.96,83.32,83.02,75.13,67.28,68.28,83.01,72.06,83.55,78.45,69.83,73.61,C,8.0,70.05
DS004,DBMS201,67.61,81.73,79.82,83.22,75.27,74.62,79.75,79.67,86.39,73.26,100.0,76.51,76.13,76.19,88.61,78.57,C,8.0,69.6
DS004,MLF301,74.16,54.75,46.17,47.37,50.36,65.86,56.81,68.12,65.19,58.47,60.78,75.19,68.81,69.08,62.17,56.51,E,6.0,60.0
DS004,DSA301,66.0,80.7,58.38,88.26,80.67,75.33,81.4,78.62,81.54,80.48,97.4,74.15,83.59,80.68,74.4,69.77,D,7.0,65.57
DS004,PDSA301,73.19,64.35,67.51,73.77,98.04,62.98,92.71,78.51,78.46,79.8,92.6,85.7,76.69,71.03,63.87,71.49,C,8.0,61.4
DS004,DBS301,74.71,62.72,42.51,72.94,57.52,71.82,66.0,86.59,77.97,71.5,73.11,79.18,68.01,83.91,80.24,59.84,E,6.0,60.0
DS004,MLT401,39.79,46.5,45.6,51.27,46.72,34.37,53.36,37.09,51.21,44.58,55.39,46.62,49.28,49.33,41.72,45.21,F,0.0,60.0
DS004,CSYS401,52.92,83.85,73.52,80.87,55.29,88.79,78.82,78.31,82.24,100.0,88.1,86.83,70.25,79.76,89.12,74.38,C,8.0,66.66
DS004,BDS401,67.74,83.74,68.95,74.87,72.45,70.82,69.68,73.53,66.78,81.87,74.26,75.02,68.09,69.55,66.39,71.88,C,8.0,62.7
DS004,DVIS401,72.78,83.96,80.59,95.6,93.63,91.6,100.0,85.16,100.0,96.42,100.0,87.7,100.0,84.82,90.15,83.87,B,9.0,79.51
DS004,MLP501,66.92,66.13,84.4,54.54,70.6,74.48,86.34,65.78,74.22,86.17,77.48,75.55,78.95,79.17,87.8,76.49,C,8.0,60.0
DS004,DL501,82.75,81.79,93.78,69.32,94.87,84.12,90.63,95.85,83.55,100.0,94.64,91.47,87.21,96.41,89.73,89.14,B,9.0,77.03
DS004,NLP501,100.0,73.81,58.66,69.96,87.32,75.27,95.68,90.12,79.78,89.07,88.17,96.02,79.24,89.82,94.31,75.41,C,8.0,81.58
DS004,CV501,54.98,47.64,53.29,43.3,51.53,52.24,64.71,72.66,52.18,51.72,62.27,53.15,57.0,69.05,55.11,53.83,E,6.0,60.0
DS004,RL601,58.39,,,63.4,69.97,70.72,64.85,66.34,73.74,,,,,,,,,,60.0
DS004,TSA601,49.26,,,57.11,48.03,46.47,51.94,47.62,52.56,,,,,,,,,,60.0
DS004,BA601,77.77,,,65.86,76.88,71.27,83.29,76.26,91.66,,,,,,,,,,66.11
DS004,CAP601,50.64,,,70.59,62.28,64.49,75.08,65.8,56.66,,,,,,,,,,60.0
DS005,MATH101,85.97,97.77,81.43,84.54,85.92,93.37,84.94,81.28,71.11,88.1,70.51,78.84,92.85,91.22,85.6,85.34,B,9.0,75.39
DS005,STAT101,57.56,71.92,45.75,82.79,68.06,63.8,75.18,64.56,71.17,74.6,79.95,77.11,83.62,63.5,76.34,59.74,E,6.0,62.04
DS005,PROG101,57.57,46.71,56.87,39.59,44.27,42.56,49.65,66.31,53.44,55.51,56.54,48.54,62.0,50.34,62.42,54.17,E,6.0,60.0
DS005,SYSC101,79.41,37.45,74.14,46.69,67.1,57.35,62.23,75.07,65.38,86.8,67.24,53.18,66.1,60.5,63.86,66.47,D,7.0,60.0
DS005,MATH201,74.27,24.23,55.14,49.86,47.31,57.7,48.8,59.77,62.69,61.82,58.99,56.83,55.47,60.05,54.0,53.66,E,6.0,60.0
DS005,STAT201,63.74,70.81,85.05,73.31,75.15,84.53,77.76,93.95,60.01,85.65,87.47,95.66,87.52,93.57,98.14,79.52,C,8.0,65.2
DS005,JAVA201,77.98,67.69,70.11,63.32,67.64,70.62,89.95,73.72,66.77,64.88,90.03,88.46,67.61,87.83,82.12,72.72,C,8.0,60.0
DS005,DBMS201,57.84,74.8,60.04,68.24,71.08,72.11,67.55,84.68,75.06,72.34,61.17,71.38,71.72,88.59,76.59,65.92,D,7.0,60.0
DS005,MLF301,75.69,85.09,55.17,74.97,73.53,88.13,79.47,78.12,75.12,65.05,73.07,79.17,72.86,68.63,74.26,68.74,D,7.0,63.94
DS005,DSA301,69.73,59.07,87.63,38.47,43.69,49.62,54.2,43.58,59.56,68.15,46.16,55.49,52.09,77.71,69.82,70.83,C,8.0,60.0
DS005,PDSA301,72.2,61.33,82.19,61.68,71.64,68.31,89.72,76.42,64.07,80.64,63.19,69.66,66.05,60.9,88.39,74.42,C,8.0,60.0
DS005,DBS301,73.51,84.99,75.53,68.66,67.59,78.35,57.04,79.36,83.8,75.74,88.96,74.02,84.18,84.47,84.28,77.15,C,8.0,60.0
DS005,MLT401,42.41,83.08,76.36,51.91,64.79,64.87,60.55,71.15,75.63,61.08,67.1,72.11,59.08,57.57,68.28,68.72,D,7.0,60.0
DS005,CSYS401,89.23,97.26,100.0,100.0,83.27,100.0,100.0,99.24,96.83,100.0,89.02,100.0,96.44,90.48,97.06,96.78,A,10.0,76.79
