student_id,timestamp,interaction_type,course_code,course_name,duration_minutes
DS001,2025-02-11 20:45:19.934627,Watch Video,MLF301,Machine Learning Foundations,
DS001,2024-10-07 20:45:19.934627,Submit Assignment,CSYS401,Computer Systems,
DS001,2024-11-29 20:45:19.934627,Take Quiz,DSA301,Data Structures & Algorithms,
DS001,2025-01-08 20:45:19.934627,Logout,DSA301,Data Structures & Algorithms,
DS001,2024-11-22 20:45:19.934627,Logout,DBS301,Database Systems,
DS001,2024-10-18 20:45:19.934627,Download Resource,,,
DS001,2025-03-10 20:45:19.934627,Watch Video,CV501,Computer Vision,
DS001,2024-12-14 20:45:19.934627,Watch Video,MATH101,Mathematics 1,
DS001,2025-02-15 20:45:19.934627,Take Quiz,,,
DS001,2024-12-24 20:45:19.934627,Submit Assignment,STAT101,Statistics 1,
DS001,2024-12-23 20:45:19.934627,Forum Post,,,
DS001,2025-01-27 20:45:19.934627,View Course,CV501,Computer Vision,
DS001,2024-10-13 20:45:19.934627,Chat with Tutor,MLP501,Machine Learning Practice,
DS001,2024-10-28 20:45:19.934627,Forum Post,CV501,Computer Vision,
DS001,2024-10-27 20:45:19.934627,Logout,,,
DS001,2024-12-07 20:45:19.934627,Login,,,91.0
DS001,2025-01-06 20:45:19.934627,Forum Reply,DVIS401,Data Visualization,
DS001,2024-11-23 20:45:19.934627,Take Quiz,CSYS401,Computer Systems,
DS001,2025-03-18 20:45:19.934627,Take Quiz,SYSC101,System Commands,
DS001,2025-03-11 20:45:19.934627,Forum Reply,STAT201,Statistics 2,
DS001,2024-10-15 20:45:19.934627,Download Resource,,,
DS001,2024-12-13 20:45:19.934627,Logout,PDSA301,"Programming, Data Structures & Algorithms",
DS001,2024-12-30 20:45:19.934627,View Course,CV501,Computer Vision,
DS001,2024-12-30 20:45:19.934627,Download Resource,PROG101,Programming Basics,
DS001,2024-10-06 20:45:19.934627,Use Chatbot,DSA301,Data Structures & Algorithms,
DS001,2025-03-22 20:45:19.934627,Logout,MATH201,Mathematics 2,
DS001,2025-01-06 20:45:19.934627,Forum Reply,DL501,Deep Learning,
DS001,2025-01-12 20:45:19.934627,Update Profile,,,
DS001,2024-10-06 20:45:19.934627,Download Resource,SYSC101,System Commands,
DS001,2024-12-02 20:45:19.934627,Use Chatbot,STAT101,Statistics 1,
DS001,2024-11-07 20:45:19.934627,View Course,DVIS401,Data Visualization,
DS001,2025-02-25 20:45:19.934627,Download Resource,NLP501,Natural Language Processing,
DS001,2025-02-19 20:45:19.934627,Login,SYSC101,System Commands,124.0
DS001,2025-03-26 20:45:19.934627,Forum Reply,MATH101,Mathematics 1,
DS001,2025-02-13 20:45:19.934627,Chat with Tutor,,,
DS001,2024-12-14 20:45:19.934627,Chat with Tutor,,,
DS001,2024-12-08 20:45:19.934627,Update Profile,CSYS401,Computer Systems,
DS001,2025-03-24 20:45:19.934627,Download Resource,STAT101,Statistics 1,
DS001,2025-03-03 20:45:19.934627,Take Quiz,MATH101,Mathematics 1,
DS001,2024-12-30 20:45:19.934627,Watch Video,DSA301,Data Structures & Algorithms,
DS001,2024-12-09 20:45:19.934627,Take Quiz,,,
DS001,2024-12-11 20:45:19.934627,Take Quiz,MLT401,Machine Learning Techniques,
DS001,2024-10-12 20:45:19.934627,Use Chatbot,,,
DS001,2024-11-06 20:45:19.934627,View Course,,,
DS001,2024-12-04 20:45:19.934627,Download Resource,DL501,Deep Learning,
DS001,2024-10-11 20:45:19.934627,Take Quiz,DL501,Deep Learning,
DS001,2025-03-24 20:45:19.934627,Logout,MATH101,Mathematics 1,
DS001,2025-01-25 20:45:19.934627,Chat with Tutor,MATH201,Mathematics 2,
DS001,2025-03-09 20:45:19.934627,Chat with Tutor,STAT201,Statistics 2,
DS001,2024-12-11 20:45:19.934627,View Course,DBMS201,DBMS,
DS001,2024-10-26 20:45:19.934627,Use Chatbot,DVIS401,Data Visualization,
DS001,2024-12-27 20:45:19.934627,View Course,,,
DS001,2025-01-22 20:45:19.934627,Forum Reply,DL501,Deep Learning,
DS001,2024-11-16 20:45:19.934627,Forum Reply,DVIS401,Data Visualization,
DS001,2024-12-01 20:45:19.934627,Forum Post,,,
DS001,2025-01-12 20:45:19.934627,Forum Reply,NLP501,Natural Language Processing,
DS001,2025-01-15 20:45:19.934627,Forum Post,,,
DS001,2024-11-24 20:45:19.934627,Update Profile,,,
DS001,2025-03-12 20:45:19.934627,Download Resource,DBS301,Database Systems,
DS001,2025-01-07 20:45:19.934627,Logout,,,
DS001,2024-10-05 20:45:19.934627,Forum Post,,,
DS001,2025-02-01 20:45:19.934627,Forum Post,DL501,Deep Learning,
DS001,2024-11-07 20:45:19.934627,Chat with Tutor,NLP501,Natural Language Processing,
DS001,2024-10-01 20:45:19.934627,Watch Video,,,
DS001,2025-01-20 20:45:19.934627,Forum Reply,MLF301,Machine Learning Foundations,
DS001,2024-11-18 20:45:19.934627,Chat with Tutor,,,
DS001,2024-10-14 20:45:19.934627,Update Profile,STAT201,Statistics 2,
DS001,2024-10-25 20:45:19.934627,Download Resource,CV501,Computer Vision,
DS001,2025-02-28 20:45:19.934627,Logout,DVIS401,Data Visualization,
DS002,2025-02-20 20:45:19.934627,Watch Video,,,
DS002,2024-12-25 20:45:19.934627,Use Chatbot,STAT101,Statistics 1,
DS002,2024-10-31 20:45:19.934627,Forum Post,DSA301,Data Structures & Algorithms,
DS002,2025-01-26 20:45:19.934627,Login,CV501,Computer Vision,57.0
DS002,2025-01-30 20:45:19.934627,Download Resource,,,
DS002,2024-11-08 20:45:19.934627,Update Profile,STAT201,Statistics 2,
DS002,2024-10-28 20:45:19.934627,Logout,,,
DS002,2024-11-27 20:45:19.934627,Logout,MATH201,Mathematics 2,
DS002,2024-09-29 20:45:19.934627,Download Resource,DBMS201,DBMS,
DS002,2025-02-28 20:45:19.934627,Watch Video,STAT101,Statistics 1,
DS002,2024-12-04 20:45:19.934627,Submit Assignment,MLT401,Machine Learning Techniques,
DS002,2024-10-10 20:45:19.934627,Use Chatbot,DL501,Deep Learning,
DS002,2024-11-06 20:45:19.934627,Submit Assignment,,,
DS002,2024-11-16 20:45:19.934627,Logout,,,
DS002,2024-12-15 20:45:19.934627,Take Quiz,MATH101,Mathematics 1,
DS002,2024-12-01 20:45:19.934627,Update Profile,,,
DS002,2024-10-27 20:45:19.934627,Logout,,,
DS002,2025-01-09 20:45:19.934627,Use Chatbot,MLF301,Machine Learning Foundations,
DS002,2025-01-14 20:45:19.934627,Update Profile,MATH201,Mathematics 2,
DS002,2025-03-05 20:45:19.934627,Submit Assignment,JAVA201,Java Programming,
DS002,2025-02-17 20:45:19.934627,Use Chatbot,DBS301,Database Systems,
DS002,2025-03-06 20:45:19.934627,Login,STAT201,Statistics 2,71.0
DS002,2024-12-02 20:45:19.934627,Use Chatbot,PDSA301,"Programming, Data Structures & Algorithms",
DS002,2025-03-22 20:45:19.934627,Download Resource,,,
DS002,2025-02-16 20:45:19.934627,Forum Post,RL601,Reinforcement Learning,
DS002,2024-10-20 20:45:19.934627,Update Profile,DL501,Deep Learning,
DS002,2025-02-25 20:45:19.934627,Take Quiz,,,
DS002,2024-10-14 20:45:19.934627,Watch Video,MLT401,Machine Learning Techniques,
DS002,2025-01-17 20:45:19.934627,Logout,,,
DS002,2024-12-20 20:45:19.934627,Use Chatbot,,,
DS002,2024-11-17 20:45:19.934627,Logout,MLF301,Machine Learning Foundations,
DS002,2025-02-08 20:45:19.934627,View Course,MLP501,Machine Learning Practice,
DS002,2024-10-29 20:45:19.934627,Update Profile,,,
DS002,2024-12-22 20:45:19.934627,Logout,DL501,Deep Learning,
DS002,2025-01-17 20:45:19.934627,Forum Reply,MATH101,Mathematics 1,
DS002,2024-12-19 20:45:19.934627,Logout,MLF301,Machine Learning Foundations,
DS002,2025-02-05 20:45:19.934627,Login,DSA301,Data Structures & Algorithms,128.0
DS002,2025-02-18 20:45:19.934627,Submit Assignment,MLT401,Machine Learning Techniques,
DS002,2024-12-17 20:45:19.934627,Login,CSYS401,Computer Systems,85.0
