student_id,course_code,course_name,trimester,instructor,year,status
DS001,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS001,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS001,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS001,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS001,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS001,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS001,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS001,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS001,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS001,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS001,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS001,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS001,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS001,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS001,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS001,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS001,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Ongoing
DS001,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Ongoing
DS001,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Ongoing
DS001,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Ongoing
DS002,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS002,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS002,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS002,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS002,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS002,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS002,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS002,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS002,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
DS002,DSA301,Data Structures & Algorithms,Trimester 3,Prof. Suresh Verma,2022,Completed
DS002,PDSA301,"Programming, Data Structures & Algorithms",Trimester 3,Prof. Raj Sharma,2022,Completed
DS002,DBS301,Database Systems,Trimester 3,Prof. Meena Gupta,2022,Completed
DS002,MLT401,Machine Learning Techniques,Trimester 4,Dr. Vikram Iyer,2023,Completed
DS002,CSYS401,Computer Systems,Trimester 4,Prof. Kavita Reddy,2023,Completed
DS002,BDS401,Big Data Systems,Trimester 4,Dr. Amit Patel,2023,Completed
DS002,DVIS401,Data Visualization,Trimester 4,Dr. Neha Sharma,2023,Completed
DS002,MLP501,Machine Learning Practice,Trimester 5,Dr. Vikram Iyer,2023,Completed
DS002,DL501,Deep Learning,Trimester 5,Dr. Amit Patel,2023,Completed
DS002,NLP501,Natural Language Processing,Trimester 5,Dr. Neha Sharma,2023,Completed
DS002,CV501,Computer Vision,Trimester 5,Dr. Ravi Menon,2023,Completed
DS002,RL601,Reinforcement Learning,Trimester 6,Dr. Ravi Menon,2023,Ongoing
DS002,TSA601,Time Series Analysis,Trimester 6,Dr. Priya Singh,2023,Ongoing
DS002,BA601,Business Analytics,Trimester 6,Dr. Neha Sharma,2023,Ongoing
DS002,CAP601,Capstone Project,Trimester 6,Dr. Vikram Iyer,2023,Ongoing
DS003,MATH101,Mathematics 1,Trimester 1,Dr. Anil Kumar,2022,Completed
DS003,STAT101,Statistics 1,Trimester 1,Dr. Priya Singh,2022,Completed
DS003,PROG101,Programming Basics,Trimester 1,Prof. Raj Sharma,2022,Completed
DS003,SYSC101,System Commands,Trimester 1,Prof. Kavita Reddy,2022,Completed
DS003,MATH201,Mathematics 2,Trimester 2,Dr. Anil Kumar,2022,Completed
DS003,STAT201,Statistics 2,Trimester 2,Dr. Priya Singh,2022,Completed
DS003,JAVA201,Java Programming,Trimester 2,Prof. Suresh Verma,2022,Completed
DS003,DBMS201,DBMS,Trimester 2,Prof. Meena Gupta,2022,Completed
DS003,MLF301,Machine Learning Foundations,Trimester 3,Dr. Vikram Iyer,2022,Completed
