student_id,course_code,course_name,instructor,course_rating,instructor_rating,content_rating,difficulty_rating,comment,submission_date
DS001,MATH101,Mathematics 1,Dr. Anil Kumar,5,5,4,1,The instructor was very knowledgeable and helpful.,2022
DS001,STAT101,Statistics 1,Dr. Priya Singh,4,4,5,1,I learned a lot from this course.,2023
DS001,PROG101,Programming Basics,Prof. Raj Sharma,4,4,4,2,I would recommend this course to others.,2022
DS001,SYSC101,System Commands,Prof. Kavita Reddy,4,4,4,2,The feedback on assignments was very helpful.,2022
DS001,MATH201,Mathematics 2,Dr. Anil Kumar,3,4,4,2,The feedback on assignments was very helpful.,2023
DS001,STAT201,Statistics 2,Dr. Priya Singh,2,2,2,4,Better explanation of complex topics is needed.,2022
DS001,JAVA201,Java Programming,Prof. Suresh Verma,3,2,2,1,More practical examples would have been helpful.,2022
DS001,DBMS201,DBMS,Prof. Meena Gupta,4,4,3,2,The instructor explained complex concepts clearly.,2022
DS001,MLF301,Machine Learning Foundations,Dr. Vikram Iyer,2,3,2,2,Better explanation of complex topics is needed.,2022
DS001,DSA301,Data Structures & Algorithms,Prof. Suresh Verma,5,5,4,1,The course materials were excellent.,2022
DS001,PDSA301,"Programming, Data Structures & Algorithms",Prof. Raj Sharma,4,4,4,1,The course exceeded my expectations.,2022
DS001,DBS301,Database Systems,Prof. Meena Gupta,3,3,4,1,"I learned a lot from this course. However, the assessment criteria were not clear.",2023
DS001,MLT401,Machine Learning Techniques,Dr. Vikram Iyer,5,5,4,1,I would recommend this course to others.,2023
DS001,CSYS401,Computer Systems,Prof. Kavita Reddy,5,5,5,1,The feedback on assignments was very helpful.,2024
DS001,BDS401,Big Data Systems,Dr. Amit Patel,4,4,5,1,The feedback on assignments was very helpful.,2023
DS001,DVIS401,Data Visualization,Dr. Neha Sharma,3,5,4,2,I learned a lot from this course.,2023
DS002,MATH101,Mathematics 1,Dr. Anil Kumar,3,3,3,2,"I would recommend this course to others. However, the assessment criteria were not clear.",2022
DS002,STAT101,Statistics 1,Dr. Priya Singh,1,2,2,3,The instructor was not very responsive to questions.,2023
DS002,PROG101,Programming Basics,Prof. Raj Sharma,4,3,4,2,I learned a lot from this course.,2022
DS002,SYSC101,System Commands,Prof. Kavita Reddy,5,3,4,1,I would recommend this course to others.,2022
